Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[  5] 183.00-184.00 sec  5.53 MBytes  46.4 Mbits/sec    0   1.99 MBytes       
[  5] 184.00-185.00 sec  5.47 MBytes  45.9 Mbits/sec    0   2.03 MBytes       
[  5] 185.00-186.00 sec  5.34 MBytes  44.8 Mbits/sec    0   2.06 MBytes       
[  5] 186.00-187.00 sec  5.41 MBytes  45.3 Mbits/sec    0   2.08 MBytes       
[  5] 187.00-188.00 sec  5.72 MBytes  48.0 Mbits/sec    0   2.09 MBytes       
[  5] 188.00-189.00 sec  5.72 MBytes  48.0 Mbits/sec    0   2.09 MBytes       
[  5] 189.00-190.00 sec  5.78 MBytes  48.5 Mbits/sec    0   2.09 MBytes       
[  5] 190.00-191.00 sec  5.56 MBytes  46.6 Mbits/sec   65   1.51 MBytes       
[  5] 191.00-192.00 sec  5.72 MBytes  48.0 Mbits/sec    0   1.66 MBytes       
[  5] 192.00-193.00 sec  5.22 MBytes  43.8 Mbits/sec    0   1.78 MBytes       
[  5] 193.00-194.00 sec  5.53 MBytes  46.4 Mbits/sec    0   1.88 MBytes       
[  5] 194.00-195.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.95 MBytes       
[  5] 195.00-196.00 sec  5.47 MBytes  45.9 Mbits/sec    0   2.01 MBytes       
[  5] 196.00-197.00 sec  5.47 MBytes  45.9 Mbits/sec    0   2.04 MBytes       
[  5] 197.00-198.00 sec  5.59 MBytes  46.9 Mbits/sec    0   2.07 MBytes       
[  5] 198.00-199.00 sec  5.78 MBytes  48.5 Mbits/sec    0   2.08 MBytes       
[  5] 199.00-200.00 sec  5.72 MBytes  48.0 Mbits/sec    0   2.09 MBytes       
[  5] 200.00-201.00 sec  5.59 MBytes  46.9 Mbits/sec    0   2.09 MBytes       
[  5] 201.00-202.00 sec  5.28 MBytes  44.3 Mbits/sec    0   2.09 MBytes       
[  5] 202.00-203.00 sec  5.53 MBytes  46.4 Mbits/sec    0   2.09 MBytes       
[  5] 203.00-204.00 sec  5.78 MBytes  48.5 Mbits/sec    0   2.10 MBytes       
[  5] 204.00-205.00 sec  5.72 MBytes  48.0 Mbits/sec    0   2.12 MBytes       
[  5] 205.00-206.00 sec  5.41 MBytes  45.4 Mbits/sec    0   2.15 MBytes       
[  5] 206.00-207.00 sec  5.39 MBytes  45.2 Mbits/sec    0   2.19 MBytes       
[  5] 207.00-208.00 sec  5.88 MBytes  49.4 Mbits/sec    0   2.26 MBytes       
[  5] 208.00-209.00 sec  5.26 MBytes  44.2 Mbits/sec    0   2.34 MBytes       
[  5] 209.00-210.00 sec  5.76 MBytes  48.3 Mbits/sec    0   2.45 MBytes       
[  5] 210.00-211.00 sec  5.52 MBytes  46.3 Mbits/sec    0   2.59 MBytes       
[  5] 211.00-212.00 sec  5.67 MBytes  47.6 Mbits/sec    0   2.76 MBytes       
[  5] 212.00-213.00 sec  5.71 MBytes  47.9 Mbits/sec    0   2.97 MBytes       
[  5] 213.00-214.00 sec  5.14 MBytes  43.1 Mbits/sec    0   3.04 MBytes       
[  5] 214.00-215.00 sec  5.14 MBytes  43.2 Mbits/sec    0   3.04 MBytes       
[  5] 215.00-216.00 sec  6.57 MBytes  55.1 Mbits/sec    0   3.04 MBytes       
[  5] 216.00-217.00 sec  5.41 MBytes  45.4 Mbits/sec    1   2.17 MBytes       
[  5] 217.00-218.00 sec  5.51 MBytes  46.2 Mbits/sec    0   2.36 MBytes       
[  5] 218.00-219.00 sec  5.14 MBytes  43.1 Mbits/sec    0   2.52 MBytes       
[  5] 219.00-220.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.66 MBytes       
[  5] 220.00-221.00 sec  5.46 MBytes  45.8 Mbits/sec    0   2.77 MBytes       
[  5] 221.00-222.00 sec  6.25 MBytes  52.4 Mbits/sec    0   2.86 MBytes       
[  5] 222.00-223.00 sec  5.76 MBytes  48.3 Mbits/sec    0   2.93 MBytes       
[  5] 223.00-224.00 sec  5.14 MBytes  43.2 Mbits/sec    0   2.97 MBytes       
[  5] 224.00-225.00 sec  5.95 MBytes  49.9 Mbits/sec    0   3.00 MBytes       
[  5] 225.00-226.00 sec  5.33 MBytes  44.7 Mbits/sec    0   3.00 MBytes       
[  5] 226.00-227.00 sec  5.51 MBytes  46.2 Mbits/sec    0   3.00 MBytes       
[  5] 227.00-228.00 sec  5.49 MBytes  46.0 Mbits/sec    0   3.00 MBytes       
[  5] 228.00-229.00 sec  5.82 MBytes  48.8 Mbits/sec    0   3.00 MBytes       
[  5] 229.00-230.00 sec  5.45 MBytes  45.7 Mbits/sec    0   3.00 MBytes       
[  5] 230.00-231.00 sec  5.64 MBytes  47.3 Mbits/sec    0   3.00 MBytes       
[  5] 231.00-232.00 sec  5.58 MBytes  46.8 Mbits/sec    0   3.00 MBytes       
[  5] 232.00-233.00 sec  5.64 MBytes  47.3 Mbits/sec    0   3.00 MBytes       
[  5] 233.00-234.00 sec  5.46 MBytes  45.8 Mbits/sec    0   3.00 MBytes       
[  5] 234.00-235.00 sec  5.70 MBytes  47.8 Mbits/sec    0   3.00 MBytes       
[  5] 235.00-236.00 sec  5.50 MBytes  46.1 Mbits/sec    0   3.00 MBytes       
[  5] 236.00-237.00 sec  5.70 MBytes  47.8 Mbits/sec    0   3.00 MBytes       
